"condition","subj_code","desktop_conf","attent_conf","device_mechanism","contingency","structure_rating_prior","learning_yellow_correct_total","learning_pink_correct_total","learning_yellow_accuracy","learning_pink_accuracy","structure_rating_posterior","age","gender","tech_issues","recorded_at"
3,"AhgQbn952ueg","1: I confirm","1: I confirm","opaque","05_05",68,7,8,0.875,1,95,31,"1: male",NA,"2026-01-22 08:38:18"
3,"PBGsTcTw4E6V","1: I confirm","1: I confirm","opaque","05_05",25,7,7,0.875,0.875,0,49,"2: female",NA,"2026-01-22 08:42:33"
3,"Jln29sFwuxTU","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,50,57,"1: male","All OK.","2026-01-22 08:48:53"
3,"IKuZAO4GvJ2P","1: I confirm","1: I confirm","opaque","05_05",83,7,7,0.875,0.875,48,20,"1: male",NA,"2026-01-22 08:58:28"
3,"BORlE9Z24Djr","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,20,29,"2: female",NA,"2026-01-22 09:02:52"
3,"Xtm0p95Hn77o","1: I confirm","1: I confirm","opaque","05_05",70,7,7,0.875,0.875,90,33,"1: male","None.","2026-01-22 09:06:29"
3,"yMZJHmY6tFET","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,43,37,"1: male",NA,"2026-01-22 09:07:02"
3,"2ru0d5aEIyRv","1: I confirm","1: I confirm","opaque","05_05",1,8,8,1,1,67,37,"1: male",NA,"2026-01-22 09:21:14"
3,"ygJ4bDZnTPNh","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,50,31,"4: prefer not to say",NA,"2026-01-22 09:34:23"
3,"FEwUiyaUoZgk","1: I confirm","1: I confirm","opaque","05_05",0,8,8,1,1,0,31,"1: male",NA,"2026-01-22 09:34:44"
3,"X2e0KTCgkZ5Y","1: I confirm","1: I confirm","opaque","05_05",48,8,8,1,1,50,53,"1: male",NA,"2026-01-22 09:40:33"
3,"nKRpEIPitHIN","1: I confirm","1: I confirm","opaque","05_05",25,8,8,1,1,50,57,"1: male","None","2026-01-22 09:46:47"
3,"aUF5BQ0Hiwqh","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,50,44,"1: male",NA,"2026-01-22 09:52:03"
3,"8eTfvXNbUJbT","1: I confirm","1: I confirm","opaque","05_05",25,8,8,1,1,0,31,"2: female","No errors I spotted","2026-01-22 10:00:44"
3,"kyan9jeKVECu","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,50,37,"2: female",NA,"2026-01-22 10:04:53"
3,"eixGiPLUnMFo","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,50,58,"2: female",NA,"2026-01-22 10:16:42"
3,"qOx7MrKeUUtU","1: I confirm","1: I confirm","opaque","05_05",61,8,8,1,1,93,30,"2: female",NA,"2026-01-22 10:28:47"
3,"lRtvX70OWLNT","1: I confirm","1: I confirm","opaque","05_05",51,8,8,1,1,13,42,"2: female","N0ne","2026-01-22 10:34:26"
3,"VPdONUEZK7EO","1: I confirm","1: I confirm","opaque","05_05",49,8,8,1,1,0,63,"1: male","none","2026-01-22 10:36:21"
3,"Wg5MWQC028En","1: I confirm","1: I confirm","opaque","05_05",54,8,8,1,1,33,57,"1: male","no issues","2026-01-22 10:45:04"
3,"T3d435XwakoB","1: I confirm","1: I confirm","opaque","05_05",55,8,8,1,1,70,41,"2: female","none","2026-01-22 11:04:35"
3,"HfQMv3MrGtzg","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,62,77,"1: male",NA,"2026-01-22 11:10:42"
3,"ydgNuLHjoGY0","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,50,45,"2: female",NA,"2026-01-22 11:13:45"
3,"pM9ASo09Wdmf","1: I confirm","1: I confirm","opaque","05_05",100,8,8,1,1,5,19,"1: male","I had no errors ","2026-01-22 11:16:46"
3,"3QzE1K8MyiVj","1: I confirm","1: I confirm","opaque","05_05",64,8,8,1,1,72,30,"2: female","n/a","2026-01-22 11:37:11"
3,"U5ESku23PylQ","1: I confirm","1: I confirm","opaque","05_05",100,8,8,1,1,100,29,"1: male",NA,"2026-01-22 11:43:57"
3,"ugLnHThJhItv","1: I confirm","1: I confirm","opaque","05_05",4,8,8,1,1,1,24,"1: male","nothing to complain about","2026-01-22 11:45:40"
3,"AiZL5oWsUOZh","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,50,34,"1: male",NA,"2026-01-22 11:47:51"
3,"WbDxBNiIHg5F","1: I confirm","1: I confirm","opaque","05_05",12,8,8,1,1,31,41,"1: male",NA,"2026-01-22 12:02:07"
3,"0Wrz7tskkFhX","1: I confirm","1: I confirm","opaque","05_05",51,7,7,0.875,0.875,50,29,"2: female",NA,"2026-01-22 12:45:29"
3,"8HiJjUECoeRA","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,33,72,"1: male",NA,"2026-01-22 13:16:39"
3,"RHeMWUwhrKLt","1: I confirm","1: I confirm","opaque","05_05",68,8,8,1,1,38,56,"1: male",NA,"2026-01-22 13:16:40"
3,"j8UNPtAK9AD5","1: I confirm","1: I confirm","opaque","05_05",28,8,8,1,1,67,39,"2: female","none ","2026-01-22 13:16:43"
3,"wB0mQwIvNLac","1: I confirm","1: I confirm","opaque","05_05",69,8,8,1,1,85,55,"2: female",NA,"2026-01-22 13:16:57"
3,"FLxD8QwVIAvc","1: I confirm","1: I confirm","opaque","05_05",79,8,8,1,1,57,67,"2: female",NA,"2026-01-22 13:17:04"
3,"9Us8HGmP7rLi","1: I confirm","1: I confirm","opaque","05_05",50,7,7,0.875,0.875,50,40,"1: male","n/a","2026-01-22 13:25:39"
3,"DmWAHihNG5yb","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,50,50,"1: male","No issues","2026-01-22 13:25:40"
3,"IYOZcQDG5xvh","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,50,56,"2: female",NA,"2026-01-22 13:25:47"
3,"MH3zgCtxyRuW","1: I confirm","1: I confirm","opaque","05_05",70,8,8,1,1,15,71,"1: male","Not Applicable. ","2026-01-22 13:25:55"
3,"j0IgBfDQvAww","1: I confirm","1: I confirm","opaque","05_05",70,8,8,1,1,50,40,"2: female",NA,"2026-01-22 13:29:57"
3,"TFMiHujhNm7Z","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,100,68,"1: male",NA,"2026-01-22 13:57:39"
3,"VVU9y1gXLHqk","1: I confirm","1: I confirm","opaque","05_05",83,7,8,0.875,1,78,59,"2: female",NA,"2026-01-22 13:57:51"
3,"8UJhhsMcGgsw","1: I confirm","1: I confirm","opaque","05_05",65,8,8,1,1,50,27,"2: female",NA,"2026-01-22 15:48:13"
3,"KXlnm49n3cXH","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,68,42,"2: female",NA,"2026-01-22 15:48:26"
3,"d3ZvvK5TsEki","1: I confirm","1: I confirm","opaque","05_05",25,8,8,1,1,75,18,"1: male",NA,"2026-01-22 15:48:34"
3,"mJ76MqlE4i10","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,58,50,"1: male",NA,"2026-01-22 15:50:18"
3,"AbWnr5QnHX3b","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,50,64,"1: male","No errors.","2026-01-22 15:54:45"
3,"Bdp9aJf1q7vd","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,50,21,"2: female",NA,"2026-01-22 16:33:13"
3,"4SVtHf72vmeJ","1: I confirm","1: I confirm","opaque","05_05",55,8,8,1,1,26,22,"2: female",NA,"2026-01-22 16:33:17"
3,"amAWJbixJVm7","1: I confirm","1: I confirm","opaque","05_05",90,8,8,1,1,50,44,"2: female",NA,"2026-01-22 16:33:23"
3,"Aj4cQH1612ti","1: I confirm","1: I confirm","opaque","05_05",49,8,7,1,0.875,50,39,"2: female",NA,"2026-01-22 16:33:39"
3,"MSVxLd5ucRIx","1: I confirm","1: I confirm","opaque","05_05",7,8,8,1,1,5,48,"2: female","I like the survey I did experience any issues. ","2026-01-22 16:33:39"
3,"kxvkda2q9d3i","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,0,31,"2: female",NA,"2026-01-23 09:25:51"
3,"BJGJuijxcAuY","1: I confirm","1: I confirm","opaque","05_05",26,8,8,1,1,46,34,"1: male",NA,"2026-01-23 09:26:04"
3,"8A9Akyzw8lLU","1: I confirm","1: I confirm","opaque","05_05",45,7,7,0.875,0.875,62,26,"2: female","N/A","2026-01-23 09:26:11"
3,"UYNRZ3kuX3RD","1: I confirm","1: I confirm","opaque","05_05",88,8,8,1,1,72,35,"1: male",NA,"2026-01-23 09:26:12"
3,"IZhY2vBbADgP","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,9,60,"2: female",NA,"2026-01-23 09:26:15"
3,"whuLpxr3AsqM","1: I confirm","1: I confirm","opaque","05_05",50,8,8,1,1,24,35,"1: male",NA,"2026-01-23 09:26:57"
3,"gkkVWyq2qTrb","1: I confirm","1: I confirm","opaque","05_05",50,7,7,0.875,0.875,27,25,"2: female","none","2026-01-23 09:27:04"
3,"zW3ByengdG6Y","1: I confirm","1: I confirm","opaque","05_05",0,8,8,1,1,0,27,"1: male","None","2026-01-23 09:27:13"
5,"jjeCsmbJyV9P","1: I confirm","1: I confirm","opaque","0_0",100,8,8,1,1,0,58,"1: male","none","2026-01-22 08:40:05"
5,"dIG0NAiRSvrj","1: I confirm","1: I confirm","opaque","0_0",0,8,8,1,1,0,36,"2: female",NA,"2026-01-22 08:44:37"
5,"6hUpgvfaBG9u","1: I confirm","1: I confirm","opaque","0_0",50,8,8,1,1,22,42,"1: male",NA,"2026-01-22 08:46:50"
5,"9rfyjEOXcA4F","1: I confirm","1: I confirm","opaque","0_0",37,8,8,1,1,34,38,"1: male",NA,"2026-01-22 09:05:03"
5,"SoELI8kpd6aO","1: I confirm","1: I confirm","opaque","0_0",0,8,8,1,1,0,36,"2: female","none","2026-01-22 09:08:56"
5,"ezJmXOVSWsUR","1: I confirm","1: I confirm","opaque","0_0",66,7,8,0.875,1,41,30,"2: female",NA,"2026-01-22 09:25:29"
5,"d29iNPHiW4ug","1: I confirm","1: I confirm","opaque","0_0",100,8,8,1,1,50,3,"2: female","I was unable to input my age correctly. I wanted to input 34, but the screen greyed me out, as a result I do not know what was recorded.","2026-01-22 09:40:52"
5,"ebIMQP5ErFkO","1: I confirm","1: I confirm","opaque","0_0",20,7,8,0.875,1,15,39,"1: male",NA,"2026-01-22 09:56:03"
5,"lfZPOtchIL0T","1: I confirm","1: I confirm","opaque","0_0",50,8,8,1,1,50,47,"2: female",NA,"2026-01-22 09:58:07"
5,"OKy00gaWCJpx","1: I confirm","1: I confirm","opaque","0_0",50,8,8,1,1,0,63,"1: male","There were no errors or technical difficulties encountered during the experiment","2026-01-22 10:09:10"
5,"iGNotOOP1eqe","1: I confirm","1: I confirm","opaque","0_0",33,8,8,1,1,1,55,"2: female",NA,"2026-01-22 10:09:48"
5,"O3l8zpdrbCLD","1: I confirm","1: I confirm","opaque","0_0",50,8,8,1,1,8,38,"4: prefer not to say",NA,"2026-01-22 10:11:17"
5,"DZD7R0ETYQBM","1: I confirm","1: I confirm","opaque","0_0",50,8,8,1,1,49,53,"1: male","None","2026-01-22 10:15:44"
5,"rR109vvw0Vdx","1: I confirm","1: I confirm","opaque","0_0",50,8,8,1,1,8,29,"2: female",NA,"2026-01-22 10:17:34"
5,"FytyJlwbabpl","1: I confirm","1: I confirm","opaque","0_0",50,8,8,1,1,50,59,"2: female","If the foot behind the second ball remains in place, then the rolling of the first ball would stop on hitting the foot, so it wouldnt connect with the second ball.","2026-01-22 10:22:52"
5,"JHYnOuc2BgLe","1: I confirm","1: I confirm","opaque","0_0",85,8,8,1,1,9,37,"2: female","nothing to report","2026-01-22 10:30:17"
5,"XivMwiCIo8d0","1: I confirm","1: I confirm","opaque","0_0",50,8,8,1,1,0,26,"2: female",NA,"2026-01-22 10:30:24"
5,"oT1Yy423OhCP","1: I confirm","1: I confirm","opaque","0_0",50,8,8,1,1,50,63,"1: male",NA,"2026-01-22 10:32:33"
5,"VPO4b6NoNzwq","1: I confirm","1: I confirm","opaque","0_0",100,8,8,1,1,100,24,"2: female",NA,"2026-01-22 10:34:20"
5,"eWYzLUBASTpT","1: I confirm","1: I confirm","opaque","0_0",50,8,8,1,1,49,62,"1: male",NA,"2026-01-22 10:36:45"
5,"I2y1XmzcAZ3v","1: I confirm","1: I confirm","opaque","0_0",49,8,8,1,1,23,43,"2: female",NA,"2026-01-22 10:46:18"
5,"sNwEVfbKjRCi","1: I confirm","1: I confirm","opaque","0_0",79,8,8,1,1,56,24,"2: female",NA,"2026-01-22 10:54:38"
5,"0WBdsJVpVkyH","1: I confirm","1: I confirm","opaque","0_0",50,8,8,1,1,6,51,"2: female","No errors noticed.","2026-01-22 11:14:53"
5,"BbqdoIUh6T4q","1: I confirm","1: I confirm","opaque","0_0",45,8,8,1,1,5,27,"2: female",NA,"2026-01-22 11:27:37"
